Date,Month_name,Category,Amount,month,year
2023-04-16,Apr,Food,32.5,4,2023
2023-04-19,Apr,Food,40.0,4,2023
2023-04-20,Apr,Food,13.0,4,2023
2023-04-21,Apr,Food,101.0,4,2023
2023-04-22,Apr,Food,231.0,4,2023
2023-04-23,Apr,Food,12.0,4,2023
2023-04-24,Apr,Food,48.0,4,2023
2023-04-25,Apr,Food,14.0,4,2023
2023-04-26,Apr,Food,5.0,4,2023
2023-04-27,Apr,Food,20.0,4,2023
2023-04-28,Apr,Food,97.0,4,2023
2023-04-18,Apr,Healthcare,17.0,4,2023
2023-04-20,Apr,Clothes/ Shoes/ Jewelry ,470.0,4,2023
2023-04-04,Apr,Outings,100.0,4,2023
2023-02-04,Feb,Toiletries/Groceries,136.92,2,2023
2023-03-04,Mar,Toiletries/Groceries,39.0,3,2023
2023-09-04,Sep,Toiletries/Groceries,4.0,9,2023
2023-10-04,Oct,Toiletries/Groceries,4.5,10,2023
2023-04-22,Apr,Toiletries/Groceries,95.97,4,2023
2023-04-24,Apr,Toiletries/Groceries,72.5,4,2023
2023-02-04,Feb,Transportation ,62.0,2,2023
2023-04-04,Apr,Transportation ,17.0,4,2023
2023-05-04,May,Transportation ,20.0,5,2023
2023-06-04,Jun,Transportation ,13.0,6,2023
2023-07-04,Jul,Transportation ,13.0,7,2023
2023-09-04,Sep,Transportation ,45.0,9,2023
2023-10-04,Oct,Transportation ,32.0,10,2023
2023-04-14,Apr,Transportation ,14.0,4,2023
2023-04-15,Apr,Transportation ,50.0,4,2023
2023-04-16,Apr,Transportation ,49.0,4,2023
2023-04-19,Apr,Transportation ,30.0,4,2023
2023-04-21,Apr,Transportation ,53.0,4,2023
2023-04-22,Apr,Transportation ,16.0,4,2023
2023-04-23,Apr,Transportation ,40.0,4,2023
2023-04-28,Apr,Transportation ,6.0,4,2023
2023-05-04,May,Miscellaneous,5.0,5,2023
2023-07-04,Jul,Miscellaneous,208.0,7,2023
2023-09-04,Sep,Miscellaneous,100.0,9,2023
2023-10-04,Oct,Miscellaneous,35.0,10,2023
2023-04-17,Apr,Miscellaneous,50.0,4,2023
2023-04-20,Apr,Miscellaneous,15.0,4,2023
2023-04-28,Apr,Miscellaneous,150.0,4,2023
2023-04-26,Apr,Apple Subscriptions,12.82,4,2023
2023-10-04,Oct,Google 1,9.0,10,2023
2023-04-22,Apr,Netflix,101.74,4,2023
2023-04-20,Apr,Account Charges,5.0,4,2023
2023-04-23,Apr,Account Charges,3.0,4,2023
2023-04-28,Apr,Account Charges,6.0,4,2023
2023-06-05,Jun,Data,300.0,6,2023
2023-01-05,Jan,Food,40.0,1,2023
2023-02-05,Feb,Food,8.0,2,2023
2023-03-05,Mar,Food,100.0,3,2023
2023-04-05,Apr,Food,5.0,4,2023
2023-05-05,May,Food,5.0,5,2023
2023-06-05,Jun,Food,141.0,6,2023
2023-07-05,Jul,Food,10.0,7,2023
2023-08-05,Aug,Food,5.0,8,2023
2023-09-05,Sep,Food,22.0,9,2023
2023-10-05,Oct,Food,7.0,10,2023
2023-11-05,Nov,Food,7.0,11,2023
2023-12-05,Dec,Food,8.5,12,2023
2023-05-13,May,Food,34.0,5,2023
2023-05-14,May,Food,16.0,5,2023
2023-05-15,May,Food,7.0,5,2023
2023-05-16,May,Food,8.0,5,2023
2023-05-17,May,Food,18.0,5,2023
2023-05-18,May,Food,7.0,5,2023
2023-05-19,May,Food,140.0,5,2023
2023-05-20,May,Food,50.0,5,2023
2023-05-21,May,Food,125.0,5,2023
2023-05-22,May,Food,165.0,5,2023
2023-05-23,May,Food,9.0,5,2023
2023-05-24,May,Food,16.0,5,2023
2023-05-25,May,Food,17.0,5,2023
2023-05-26,May,Food,20.0,5,2023
2023-05-27,May,Food,89.0,5,2023
2023-05-28,May,Food,10.0,5,2023
2023-05-29,May,Food,5.0,5,2023
2023-05-30,May,Food,10.0,5,2023
2023-05-31,May,Food,8.0,5,2023
2023-06-05,Jun,Healthcare,52.0,6,2023
2023-05-29,May,Clothes/ Shoes/ Jewelry ,290.0,5,2023
2023-05-27,May,Outings,100.0,5,2023
2023-02-05,Feb,Toiletries/Groceries,39.0,2,2023
2023-04-05,Apr,Toiletries/Groceries,137.95,4,2023
2023-06-05,Jun,Toiletries/Groceries,50.49,6,2023
2023-07-05,Jul,Toiletries/Groceries,23.0,7,2023
2023-05-15,May,Toiletries/Groceries,16.0,5,2023
2023-05-16,May,Toiletries/Groceries,91.0,5,2023
2023-05-17,May,Toiletries/Groceries,13.0,5,2023
2023-05-18,May,Toiletries/Groceries,36.0,5,2023
2023-05-19,May,Toiletries/Groceries,57.0,5,2023
2023-05-22,May,Toiletries/Groceries,250.0,5,2023
2023-02-05,Feb,Transportation ,70.0,2,2023
2023-04-05,Apr,Transportation ,63.0,4,2023
2023-05-05,May,Transportation ,209.0,5,2023
2023-06-05,Jun,Transportation ,4.5,6,2023
2023-07-05,Jul,Transportation ,34.0,7,2023
2023-09-05,Sep,Transportation ,52.0,9,2023
2023-12-05,Dec,Transportation ,44.0,12,2023
2023-05-13,May,Transportation ,24.5,5,2023
2023-05-15,May,Transportation ,56.0,5,2023
2023-05-16,May,Transportation ,12.5,5,2023
2023-05-17,May,Transportation ,3.0,5,2023
2023-05-18,May,Transportation ,55.0,5,2023
2023-05-19,May,Transportation ,27.0,5,2023
2023-05-21,May,Transportation ,47.0,5,2023
2023-05-22,May,Transportation ,54.0,5,2023
2023-05-23,May,Transportation ,107.0,5,2023
2023-05-25,May,Transportation ,5.0,5,2023
2023-05-26,May,Transportation ,40.0,5,2023
2023-05-27,May,Transportation ,22.0,5,2023
2023-05-29,May,Transportation ,123.0,5,2023
2023-05-31,May,Transportation ,54.0,5,2023
2023-02-05,Feb,Miscellaneous,260.0,2,2023
2023-06-05,Jun,Miscellaneous,20.0,6,2023
2023-05-24,May,Miscellaneous,20.0,5,2023
2023-05-27,May,Miscellaneous,20.0,5,2023
2023-05-31,May,Miscellaneous,750.0,5,2023
2023-05-26,May,Apple Subscriptions,12.19,5,2023
2023-05-23,May,Netflix,93.61,5,2023
2023-02-05,Feb,Account Charges,3.55,2,2023
2023-03-05,Mar,Account Charges,1.0,3,2023
2023-06-05,Jun,Account Charges,5.0,6,2023
2023-09-05,Sep,Account Charges,1.0,9,2023
2023-05-29,May,Account Charges,1.0,5,2023
2023-05-31,May,Account Charges,5.0,5,2023
2023-06-27,Jun,Rent,500.0,6,2023
2023-05-06,May,Data,300.0,5,2023
2023-06-27,Jun,Savings/ Investment ,350.0,6,2023
2023-01-06,Jan,Food,13.0,1,2023
2023-02-06,Feb,Food,172.0,2,2023
2023-03-06,Mar,Food,23.0,3,2023
2023-04-06,Apr,Food,11.5,4,2023
2023-05-06,May,Food,8.0,5,2023
2023-06-06,Jun,Food,24.0,6,2023
2023-07-06,Jul,Food,7.0,7,2023
2023-08-06,Aug,Food,12.0,8,2023
2023-09-06,Sep,Food,17.0,9,2023
2023-10-06,Oct,Food,37.0,10,2023
2023-12-06,Dec,Food,7.0,12,2023
