Date,Month_name,Category,Amount,month,year
2023-10-15,Oct,Food,13.0,10,2023
2023-10-17,Oct,Food,32.0,10,2023
2023-10-18,Oct,Food,8.0,10,2023
2023-10-21,Oct,Food,32.0,10,2023
2023-10-23,Oct,Food,53.0,10,2023
2023-10-24,Oct,Food,27.49,10,2023
2023-10-25,Oct,Food,11.0,10,2023
2023-10-27,Oct,Food,304.0,10,2023
2023-10-28,Oct,Food,73.0,10,2023
2023-10-30,Oct,Food,40.0,10,2023
2023-10-31,Oct,Food,10.0,10,2023
2023-10-25,Oct,Clothes/ Shoes/ Jewelry ,380.0,10,2023
2023-03-10,Mar,Toiletries/Groceries,4.0,3,2023
2023-10-14,Oct,Toiletries/Groceries,30.0,10,2023
2023-10-15,Oct,Toiletries/Groceries,37.8,10,2023
2023-10-17,Oct,Toiletries/Groceries,10.8,10,2023
2023-10-22,Oct,Toiletries/Groceries,569.34,10,2023
2023-02-10,Feb,Transportation ,37.0,2,2023
2023-04-10,Apr,Transportation ,51.0,4,2023
2023-05-10,May,Transportation ,38.0,5,2023
2023-06-10,Jun,Transportation ,86.0,6,2023
2023-08-10,Aug,Transportation ,14.0,8,2023
2023-09-10,Sep,Transportation ,86.0,9,2023
2023-10-10,Oct,Transportation ,18.0,10,2023
2023-12-10,Dec,Transportation ,14.0,12,2023
2023-10-13,Oct,Transportation ,79.0,10,2023
2023-10-14,Oct,Transportation ,26.0,10,2023
2023-10-16,Oct,Transportation ,35.0,10,2023
2023-10-18,Oct,Transportation ,80.0,10,2023
2023-10-20,Oct,Transportation ,59.0,10,2023
2023-10-21,Oct,Transportation ,41.0,10,2023
2023-10-22,Oct,Transportation ,98.0,10,2023
2023-10-24,Oct,Transportation ,49.0,10,2023
2023-10-27,Oct,Transportation ,63.0,10,2023
2023-10-29,Oct,Transportation ,40.0,10,2023
2023-10-30,Oct,Transportation ,94.0,10,2023
2023-05-10,May,Miscellaneous,121.0,5,2023
2023-07-10,Jul,Miscellaneous,40.0,7,2023
2023-09-10,Sep,Miscellaneous,80.0,9,2023
2023-10-15,Oct,Miscellaneous,101.0,10,2023
2023-10-16,Oct,Miscellaneous,51.0,10,2023
2023-10-18,Oct,Miscellaneous,100.0,10,2023
2023-10-20,Oct,Miscellaneous,100.0,10,2023
2023-10-21,Oct,Miscellaneous,2.5,10,2023
2023-10-23,Oct,Miscellaneous,20.0,10,2023
2023-10-31,Oct,Miscellaneous,100.0,10,2023
2023-10-27,Oct,Apple Subscriptions,12.57,10,2023
2023-10-18,Oct,Netflix,100.84,10,2023
2023-10-20,Oct,Account Charges,10.0,10,2023
2023-10-25,Oct,Account Charges,8.2,10,2023
2023-11-16,Nov,Data,330.0,11,2023
2023-01-11,Jan,Food,100.0,1,2023
2023-04-11,Apr,Food,28.0,4,2023
2023-06-11,Jun,Food,16.0,6,2023
2023-07-11,Jul,Food,18.0,7,2023
2023-09-11,Sep,Food,10.0,9,2023
2023-10-11,Oct,Food,43.0,10,2023
2023-11-11,Nov,Food,113.0,11,2023
2023-11-13,Nov,Food,5.0,11,2023
2023-11-14,Nov,Food,10.0,11,2023
2023-11-16,Nov,Food,10.0,11,2023
2023-11-17,Nov,Food,35.0,11,2023
2023-11-18,Nov,Food,145.0,11,2023
2023-11-20,Nov,Food,10.0,11,2023
2023-11-22,Nov,Food,16.0,11,2023
2023-11-23,Nov,Food,10.0,11,2023
2023-11-24,Nov,Food,21.0,11,2023
2023-11-25,Nov,Food,120.0,11,2023
2023-11-27,Nov,Food,93.0,11,2023
2023-11-30,Nov,Food,50.0,11,2023
2023-04-11,Apr,Healthcare,48.5,4,2023
2023-06-11,Jun,Healthcare,2.0,6,2023
2023-08-11,Aug,Healthcare,23.3,8,2023
2023-11-17,Nov,Healthcare,17.0,11,2023
2023-11-27,Nov,Healthcare,46.0,11,2023
2023-11-30,Nov,Healthcare,15.0,11,2023
2023-01-11,Jan,Toiletries/Groceries,120.0,1,2023
2023-11-17,Nov,Toiletries/Groceries,50.0,11,2023
2023-11-18,Nov,Toiletries/Groceries,1047.6,11,2023
2023-11-19,Nov,Toiletries/Groceries,133.37,11,2023
2023-11-25,Nov,Toiletries/Groceries,198.0,11,2023
2023-11-28,Nov,Toiletries/Groceries,10.0,11,2023
2023-01-11,Jan,Transportation ,14.0,1,2023
2023-02-11,Feb,Transportation ,84.0,2,2023
2023-03-11,Mar,Transportation ,117.0,3,2023
2023-08-11,Aug,Transportation ,36.0,8,2023
2023-09-11,Sep,Transportation ,41.5,9,2023
2023-10-11,Oct,Transportation ,92.0,10,2023
2023-11-13,Nov,Transportation ,50.0,11,2023
2023-11-14,Nov,Transportation ,18.0,11,2023
2023-11-15,Nov,Transportation ,45.0,11,2023
2023-11-16,Nov,Transportation ,67.0,11,2023
2023-11-17,Nov,Transportation ,120.0,11,2023
2023-11-18,Nov,Transportation ,81.0,11,2023
2023-11-19,Nov,Transportation ,40.0,11,2023
2023-11-20,Nov,Transportation ,63.0,11,2023
2023-11-21,Nov,Transportation ,4.0,11,2023
2023-11-22,Nov,Transportation ,4.5,11,2023
2023-11-24,Nov,Transportation ,144.0,11,2023
2023-11-25,Nov,Transportation ,54.0,11,2023
2023-11-26,Nov,Transportation ,65.0,11,2023
2023-11-27,Nov,Transportation ,9.5,11,2023
2023-11-28,Nov,Transportation ,5.5,11,2023
2023-11-29,Nov,Transportation ,77.5,11,2023
2023-11-30,Nov,Transportation ,103.0,11,2023
2023-03-11,Mar,Miscellaneous,65.0,3,2023
2023-04-11,Apr,Miscellaneous,22.0,4,2023
2023-08-11,Aug,Miscellaneous,50.0,8,2023
2023-11-13,Nov,Miscellaneous,30.0,11,2023
2023-11-15,Nov,Miscellaneous,28.0,11,2023
2023-11-18,Nov,Miscellaneous,3.0,11,2023
2023-11-20,Nov,Miscellaneous,150.0,11,2023
2023-11-23,Nov,Miscellaneous,65.0,11,2023
2023-11-25,Nov,Miscellaneous,400.0,11,2023
2023-11-27,Nov,Miscellaneous,3.0,11,2023
2023-11-29,Nov,Miscellaneous,600.0,11,2023
2023-11-30,Nov,Miscellaneous,100.0,11,2023
2023-11-26,Nov,Apple Subscriptions,12.74,11,2023
2023-11-19,Nov,Netflix,102.58,11,2023
2023-11-27,Nov,electricity,70.0,11,2023
2023-01-11,Jan,Account Charges,2.9,1,2023
2023-11-22,Nov,Account Charges,10.0,11,2023
2023-11-25,Nov,Account Charges,8.0,11,2023
2023-12-31,Dec,Rent,1000.0,12,2023
2023-07-12,Jul,Data,5.0,7,2023
2023-12-16,Dec,Data,450.0,12,2023
2023-02-12,Feb,Food,3.0,2,2023
2023-04-12,Apr,Food,10.0,4,2023
2023-05-12,May,Food,62.0,5,2023
2023-06-12,Jun,Food,10.0,6,2023
2023-07-12,Jul,Food,85.0,7,2023
2023-08-12,Aug,Food,17.0,8,2023
2023-09-12,Sep,Food,35.0,9,2023
2023-11-12,Nov,Food,120.0,11,2023
2023-12-12,Dec,Food,20.0,12,2023
2023-12-13,Dec,Food,20.0,12,2023
2023-12-14,Dec,Food,105.0,12,2023
2023-12-15,Dec,Food,30.0,12,2023
2023-12-16,Dec,Food,98.1,12,2023
2023-12-18,Dec,Food,20.0,12,2023
2023-12-19,Dec,Food,23.0,12,2023
2023-12-21,Dec,Food,6.0,12,2023
2023-12-22,Dec,Food,58.0,12,2023
2023-12-23,Dec,Food,207.0,12,2023
2023-12-26,Dec,Food,184.0,12,2023
2023-12-29,Dec,Food,134.8,12,2023
2023-12-31,Dec,Food,475.0,12,2023
2023-07-12,Jul,Healthcare,22.0,7,2023
2023-12-16,Dec,Healthcare,18.0,12,2023
2023-12-26,Dec,Healthcare,16.0,12,2023
2023-02-12,Feb,Clothes/ Shoes/ Jewelry ,120.0,2,2023
2023-12-23,Dec,Toiletries/Groceries,313.0,12,2023
2023-12-24,Dec,Toiletries/Groceries,1179.81,12,2023
2023-12-26,Dec,Toiletries/Groceries,47.0,12,2023
2023-01-12,Jan,Transportation ,29.0,1,2023
2023-03-12,Mar,Transportation ,21.0,3,2023
2023-04-12,Apr,Transportation ,123.0,4,2023
2023-05-12,May,Transportation ,24.0,5,2023
2023-06-12,Jun,Transportation ,75.0,6,2023
2023-07-12,Jul,Transportation ,59.0,7,2023
2023-08-12,Aug,Transportation ,116.0,8,2023
2023-09-12,Sep,Transportation ,108.0,9,2023
2023-12-13,Dec,Transportation ,15.5,12,2023
2023-12-14,Dec,Transportation ,30.0,12,2023
2023-12-15,Dec,Transportation ,108.0,12,2023
2023-12-17,Dec,Transportation ,188.0,12,2023
2023-12-19,Dec,Transportation ,12.5,12,2023
2023-12-20,Dec,Transportation ,74.5,12,2023
2023-12-21,Dec,Transportation ,37.5,12,2023
2023-12-22,Dec,Transportation ,110.5,12,2023
2023-12-23,Dec,Transportation ,129.0,12,2023
2023-12-24,Dec,Transportation ,57.0,12,2023
2023-12-25,Dec,Transportation ,76.0,12,2023
2023-12-26,Dec,Transportation ,35.0,12,2023
2023-12-27,Dec,Transportation ,19.0,12,2023
2023-12-29,Dec,Transportation ,18.0,12,2023
2023-12-31,Dec,Transportation ,40.0,12,2023
2023-04-12,Apr,Miscellaneous,111.0,4,2023
2023-07-12,Jul,Miscellaneous,50.0,7,2023
2023-10-12,Oct,Miscellaneous,650.0,10,2023
2023-12-12,Dec,Miscellaneous,50.0,12,2023
2023-12-14,Dec,Miscellaneous,50.0,12,2023
2023-12-15,Dec,Miscellaneous,60.0,12,2023
2023-12-18,Dec,Miscellaneous,100.0,12,2023
2023-12-23,Dec,Miscellaneous,50.0,12,2023
2023-12-28,Dec,Miscellaneous,21.0,12,2023
2023-12-27,Dec,Apple Subscriptions,12.77,12,2023
2023-11-12,Nov,Google 1,9.0,11,2023
2023-12-23,Dec,Netflix,103.02,12,2023
2023-02-12,Feb,Account Charges,1.2,2,2023
2023-10-12,Oct,Account Charges,6.5,10,2023
2023-12-12,Dec,Account Charges,7.0,12,2023
2023-12-13,Dec,Account Charges,3.0,12,2023
2023-12-31,Dec,Account Charges,10.0,12,2023
