Category,Day,Amount,Date,Month
shoes,14,,14/01/2023,JAN
shoes,15,,15/01/2023,JAN
shoes,16,,16/01/2023,JAN
shoes,17,,17/01/2023,JAN
shoes,18,,18/01/2023,JAN
shoes,19,,19/01/2023,JAN
shoes,20,,20/01/2023,JAN
shoes,21,,21/01/2023,JAN
shoes,22,,22/01/2023,JAN
shoes,23,,23/01/2023,JAN
shoes,24,,24/01/2023,JAN
shoes,25,,25/01/2023,JAN
shoes,26,,26/01/2023,JAN
shoes,27,,27/01/2023,JAN
shoes,28,,28/01/2023,JAN
shoes,29,,29/01/2023,JAN
shoes,30,,30/01/2023,JAN
shoes,31,,31/01/2023,JAN
Travel/ Vacations ,1,,01/01/2023,JAN
Travel/ Vacations ,2,,02/01/2023,JAN
Travel/ Vacations ,3,,03/01/2023,JAN
Travel/ Vacations ,4,,04/01/2023,JAN
Travel/ Vacations ,5,,05/01/2023,JAN
Travel/ Vacations ,6,,06/01/2023,JAN
Travel/ Vacations ,7,,07/01/2023,JAN
Travel/ Vacations ,8,,08/01/2023,JAN
Travel/ Vacations ,9,,09/01/2023,JAN
Travel/ Vacations ,10,,10/01/2023,JAN
Travel/ Vacations ,11,,11/01/2023,JAN
Travel/ Vacations ,12,,12/01/2023,JAN
Travel/ Vacations ,13,,13/01/2023,JAN
Travel/ Vacations ,14,,14/01/2023,JAN
Travel/ Vacations ,15,,15/01/2023,JAN
Travel/ Vacations ,16,,16/01/2023,JAN
Travel/ Vacations ,17,,17/01/2023,JAN
Travel/ Vacations ,18,,18/01/2023,JAN
Travel/ Vacations ,19,,19/01/2023,JAN
Travel/ Vacations ,20,,20/01/2023,JAN
Travel/ Vacations ,21,,21/01/2023,JAN
Travel/ Vacations ,22,,22/01/2023,JAN
Travel/ Vacations ,23,,23/01/2023,JAN
Travel/ Vacations ,24,,24/01/2023,JAN
Travel/ Vacations ,25,,25/01/2023,JAN
Travel/ Vacations ,26,,26/01/2023,JAN
Travel/ Vacations ,27,,27/01/2023,JAN
Travel/ Vacations ,28,,28/01/2023,JAN
Travel/ Vacations ,29,,29/01/2023,JAN
Travel/ Vacations ,30,,30/01/2023,JAN
Travel/ Vacations ,31,,31/01/2023,JAN
Outings,1,,01/01/2023,JAN
Outings,2,,02/01/2023,JAN
Outings,3,,03/01/2023,JAN
Outings,4,,04/01/2023,JAN
Outings,5,,05/01/2023,JAN
Outings,6,,06/01/2023,JAN
Outings,7,,07/01/2023,JAN
Outings,8,,08/01/2023,JAN
Outings,9,,09/01/2023,JAN
Outings,10,,10/01/2023,JAN
Outings,11,,11/01/2023,JAN
Outings,12,,12/01/2023,JAN
Outings,13,,13/01/2023,JAN
Outings,14,,14/01/2023,JAN
Outings,15,,15/01/2023,JAN
Outings,16,,16/01/2023,JAN
Outings,17,50,17/01/2023,JAN
Outings,18,7,18/01/2023,JAN
Outings,19,,19/01/2023,JAN
Outings,20,,20/01/2023,JAN
Outings,21,,21/01/2023,JAN
Outings,22,,22/01/2023,JAN
Outings,23,,23/01/2023,JAN
Outings,24,,24/01/2023,JAN
Outings,25,,25/01/2023,JAN
Outings,26,,26/01/2023,JAN
Outings,27,,27/01/2023,JAN
Outings,28,,28/01/2023,JAN
Outings,29,,29/01/2023,JAN
Outings,30,,30/01/2023,JAN
Outings,31,,31/01/2023,JAN
Toiletries/Groceries,1,,01/01/2023,JAN
Toiletries/Groceries,2,,02/01/2023,JAN
Toiletries/Groceries,3,,03/01/2023,JAN
Toiletries/Groceries,4,,04/01/2023,JAN
Toiletries/Groceries,5,,05/01/2023,JAN
Toiletries/Groceries,6,,06/01/2023,JAN
Toiletries/Groceries,7,,07/01/2023,JAN
Toiletries/Groceries,8,,08/01/2023,JAN
Toiletries/Groceries,9,,09/01/2023,JAN
Toiletries/Groceries,10,,10/01/2023,JAN
Toiletries/Groceries,11,,11/01/2023,JAN
Toiletries/Groceries,12,,12/01/2023,JAN
Toiletries/Groceries,13,,13/01/2023,JAN
Toiletries/Groceries,14,,14/01/2023,JAN
Toiletries/Groceries,15,,15/01/2023,JAN
Toiletries/Groceries,16,,16/01/2023,JAN
Toiletries/Groceries,17,,17/01/2023,JAN
Toiletries/Groceries,18,,18/01/2023,JAN
Toiletries/Groceries,19,,19/01/2023,JAN
Toiletries/Groceries,20,5,20/01/2023,JAN
Toiletries/Groceries,21,,21/01/2023,JAN
Toiletries/Groceries,22,,22/01/2023,JAN
Toiletries/Groceries,23,,23/01/2023,JAN
Toiletries/Groceries,24,,24/01/2023,JAN
Toiletries/Groceries,25,,25/01/2023,JAN
Toiletries/Groceries,26,24,26/01/2023,JAN
Toiletries/Groceries,27,,27/01/2023,JAN
Toiletries/Groceries,28,733,28/01/2023,JAN
Toiletries/Groceries,29,,29/01/2023,JAN
Toiletries/Groceries,30,,30/01/2023,JAN
Toiletries/Groceries,31,,31/01/2023,JAN
Transportation ,1,,01/01/2023,JAN
Transportation ,2,,02/01/2023,JAN
Transportation ,3,,03/01/2023,JAN
Transportation ,4,,04/01/2023,JAN
Transportation ,5,,05/01/2023,JAN
Transportation ,6,,06/01/2023,JAN
Transportation ,7,23,07/01/2023,JAN
Transportation ,8,,08/01/2023,JAN
Transportation ,9,,09/01/2023,JAN
Transportation ,10,63,10/01/2023,JAN
Transportation ,11,,11/01/2023,JAN
Transportation ,12,,12/01/2023,JAN
Transportation ,13,,13/01/2023,JAN
Transportation ,14,,14/01/2023,JAN
Transportation ,15,,15/01/2023,JAN
Transportation ,16,,16/01/2023,JAN
Transportation ,17,,17/01/2023,JAN
Transportation ,18,,18/01/2023,JAN
Transportation ,19,63,19/01/2023,JAN
Transportation ,20,73,20/01/2023,JAN
Transportation ,21,,21/01/2023,JAN
Transportation ,22,,22/01/2023,JAN
Transportation ,23,48,23/01/2023,JAN
Transportation ,24,7,24/01/2023,JAN
Transportation ,25,12.5,25/01/2023,JAN
Transportation ,26,15,26/01/2023,JAN
Transportation ,27,40,27/01/2023,JAN
Transportation ,28,22,28/01/2023,JAN
Transportation ,29,86,29/01/2023,JAN
Transportation ,30,,30/01/2023,JAN
Transportation ,31,39,31/01/2023,JAN
Miscellaneous,1,55,01/01/2023,JAN
Miscellaneous,2,,02/01/2023,JAN
Miscellaneous,3,600,03/01/2023,JAN
Miscellaneous,4,,04/01/2023,JAN
Miscellaneous,5,,05/01/2023,JAN
Miscellaneous,6,,06/01/2023,JAN
Miscellaneous,7,,07/01/2023,JAN
Miscellaneous,8,61,08/01/2023,JAN
Miscellaneous,9,,09/01/2023,JAN
Miscellaneous,10,,10/01/2023,JAN
Miscellaneous,11,,11/01/2023,JAN
Miscellaneous,12,,12/01/2023,JAN
Miscellaneous,13,100,13/01/2023,JAN
Miscellaneous,14,51,14/01/2023,JAN
Miscellaneous,15,,15/01/2023,JAN
Miscellaneous,16,,16/01/2023,JAN
Miscellaneous,17,,17/01/2023,JAN
Miscellaneous,18,,18/01/2023,JAN
Miscellaneous,19,,19/01/2023,JAN
Miscellaneous,20,,20/01/2023,JAN
Miscellaneous,21,,21/01/2023,JAN
Miscellaneous,22,,22/01/2023,JAN
Miscellaneous,23,,23/01/2023,JAN
Miscellaneous,24,,24/01/2023,JAN
Miscellaneous,25,,25/01/2023,JAN
Miscellaneous,26,,26/01/2023,JAN
Miscellaneous,27,,27/01/2023,JAN
Miscellaneous,28,128.25,28/01/2023,JAN
Miscellaneous,29,,29/01/2023,JAN
Miscellaneous,30,,30/01/2023,JAN
Miscellaneous,31,,31/01/2023,JAN
Apple Subscriptions,1,,01/01/2023,JAN
Apple Subscriptions,2,,02/01/2023,JAN
Apple Subscriptions,3,,03/01/2023,JAN
Apple Subscriptions,4,,04/01/2023,JAN
Apple Subscriptions,5,,05/01/2023,JAN
Apple Subscriptions,6,,06/01/2023,JAN
Apple Subscriptions,7,,07/01/2023,JAN
Apple Subscriptions,8,,08/01/2023,JAN
Apple Subscriptions,9,,09/01/2023,JAN
Apple Subscriptions,10,,10/01/2023,JAN
Apple Subscriptions,11,,11/01/2023,JAN
Apple Subscriptions,12,,12/01/2023,JAN
Apple Subscriptions,13,,13/01/2023,JAN
Apple Subscriptions,14,,14/01/2023,JAN
Apple Subscriptions,15,,15/01/2023,JAN
Apple Subscriptions,16,,16/01/2023,JAN
Apple Subscriptions,17,,17/01/2023,JAN
Apple Subscriptions,18,,18/01/2023,JAN
Apple Subscriptions,19,45.06,19/01/2023,JAN
Apple Subscriptions,20,,20/01/2023,JAN
Apple Subscriptions,21,,21/01/2023,JAN
Apple Subscriptions,22,,22/01/2023,JAN
Apple Subscriptions,23,,23/01/2023,JAN
Apple Subscriptions,24,,24/01/2023,JAN
Apple Subscriptions,25,,25/01/2023,JAN
Apple Subscriptions,26,,26/01/2023,JAN
Apple Subscriptions,27,13.56,27/01/2023,JAN
Apple Subscriptions,28,,28/01/2023,JAN
Apple Subscriptions,29,,29/01/2023,JAN
Apple Subscriptions,30,,30/01/2023,JAN
Apple Subscriptions,31,,31/01/2023,JAN
Google 1,1,,01/01/2023,JAN
Google 1,2,,02/01/2023,JAN
Google 1,3,,03/01/2023,JAN
Google 1,4,,04/01/2023,JAN
Google 1,5,,05/01/2023,JAN
Google 1,6,,06/01/2023,JAN
Google 1,7,,07/01/2023,JAN
Google 1,8,,08/01/2023,JAN
Google 1,9,,09/01/2023,JAN
Google 1,10,9,10/01/2023,JAN
Google 1,11,,11/01/2023,JAN
Google 1,12,,12/01/2023,JAN
Google 1,13,,13/01/2023,JAN
Google 1,14,,14/01/2023,JAN
Google 1,15,,15/01/2023,JAN
Google 1,16,,16/01/2023,JAN
Google 1,17,,17/01/2023,JAN
Google 1,18,,18/01/2023,JAN
Google 1,19,,19/01/2023,JAN
Google 1,20,,20/01/2023,JAN
Google 1,21,,21/01/2023,JAN
Google 1,22,,22/01/2023,JAN
Google 1,23,,23/01/2023,JAN
Google 1,24,,24/01/2023,JAN
Google 1,25,,25/01/2023,JAN
Google 1,26,,26/01/2023,JAN
Google 1,27,,27/01/2023,JAN
Google 1,28,,28/01/2023,JAN
Google 1,29,,29/01/2023,JAN
Google 1,30,,30/01/2023,JAN
Google 1,31,,31/01/2023,JAN
Netflix,1,,01/01/2023,JAN
Netflix,2,,02/01/2023,JAN
Netflix,3,,03/01/2023,JAN
Netflix,4,,04/01/2023,JAN
Netflix,5,,05/01/2023,JAN
Netflix,6,,06/01/2023,JAN
Netflix,7,,07/01/2023,JAN
Netflix,8,,08/01/2023,JAN
Netflix,9,,09/01/2023,JAN
Netflix,10,,10/01/2023,JAN
Netflix,11,,11/01/2023,JAN
Netflix,12,,12/01/2023,JAN
Netflix,13,,13/01/2023,JAN
Netflix,14,,14/01/2023,JAN
Netflix,15,,15/01/2023,JAN
Netflix,16,,16/01/2023,JAN
Netflix,17,,17/01/2023,JAN
Netflix,18,,18/01/2023,JAN
Netflix,19,133.62,19/01/2023,JAN
Netflix,20,,20/01/2023,JAN
Netflix,21,,21/01/2023,JAN
Netflix,22,,22/01/2023,JAN
Netflix,23,,23/01/2023,JAN
Netflix,24,,24/01/2023,JAN
Netflix,25,,25/01/2023,JAN
Netflix,26,,26/01/2023,JAN
Netflix,27,,27/01/2023,JAN
Netflix,28,,28/01/2023,JAN
Netflix,29,,29/01/2023,JAN
Netflix,30,,30/01/2023,JAN
Netflix,31,,31/01/2023,JAN
Amuse,1,,01/01/2023,JAN
Amuse,2,,02/01/2023,JAN
Amuse,3,,03/01/2023,JAN
Amuse,4,,04/01/2023,JAN
Amuse,5,,05/01/2023,JAN
Amuse,6,,06/01/2023,JAN
Amuse,7,,07/01/2023,JAN
Amuse,8,,08/01/2023,JAN
Amuse,9,,09/01/2023,JAN
Amuse,10,,10/01/2023,JAN
Amuse,11,,11/01/2023,JAN
Amuse,12,,12/01/2023,JAN
Amuse,13,,13/01/2023,JAN
Amuse,14,,14/01/2023,JAN
Amuse,15,,15/01/2023,JAN
Amuse,16,,16/01/2023,JAN
Amuse,17,,17/01/2023,JAN
Amuse,18,,18/01/2023,JAN
Amuse,19,,19/01/2023,JAN
Amuse,20,,20/01/2023,JAN
Amuse,21,,21/01/2023,JAN
Amuse,22,,22/01/2023,JAN
Amuse,23,,23/01/2023,JAN
Amuse,24,,24/01/2023,JAN
Amuse,25,,25/01/2023,JAN
Amuse,26,,26/01/2023,JAN
Amuse,27,,27/01/2023,JAN
Amuse,28,,28/01/2023,JAN
Amuse,29,,29/01/2023,JAN
Amuse,30,,30/01/2023,JAN
Amuse,31,,31/01/2023,JAN
electricity,1,,01/01/2023,JAN
electricity,2,,02/01/2023,JAN
electricity,3,,03/01/2023,JAN
electricity,4,,04/01/2023,JAN
electricity,5,,05/01/2023,JAN
electricity,6,,06/01/2023,JAN
electricity,7,,07/01/2023,JAN
electricity,8,,08/01/2023,JAN
electricity,9,,09/01/2023,JAN
electricity,10,,10/01/2023,JAN
electricity,11,,11/01/2023,JAN
electricity,12,,12/01/2023,JAN
electricity,13,,13/01/2023,JAN
electricity,14,,14/01/2023,JAN
electricity,15,,15/01/2023,JAN
electricity,16,,16/01/2023,JAN
electricity,17,,17/01/2023,JAN
electricity,18,,18/01/2023,JAN
electricity,19,,19/01/2023,JAN
electricity,20,101,20/01/2023,JAN
electricity,21,,21/01/2023,JAN
electricity,22,,22/01/2023,JAN
electricity,23,,23/01/2023,JAN
electricity,24,,24/01/2023,JAN
electricity,25,,25/01/2023,JAN
electricity,26,,26/01/2023,JAN
electricity,27,,27/01/2023,JAN
electricity,28,,28/01/2023,JAN
electricity,29,,29/01/2023,JAN
electricity,30,,30/01/2023,JAN
electricity,31,,31/01/2023,JAN
Account Charges,1,,01/01/2023,JAN
Account Charges,2,,02/01/2023,JAN
Account Charges,3,,03/01/2023,JAN
Account Charges,4,,04/01/2023,JAN
Account Charges,5,,05/01/2023,JAN
Account Charges,6,,06/01/2023,JAN
Account Charges,7,,07/01/2023,JAN
Account Charges,8,,08/01/2023,JAN
Account Charges,9,,09/01/2023,JAN
